repeat,i,code,connect_s,appconnect_s,starttransfer_s,total_s
3,47,200,0.000061,0.002365,0.002560,0.002574
3,48,200,0.000054,0.002282,0.002464,0.002479
3,49,200,0.000057,0.002383,0.002579,0.002594
3,50,200,0.000058,0.002250,0.002421,0.002436
4,1,200,0.000055,0.002364,0.002574,0.002591
4,2,200,0.000063,0.002290,0.002474,0.002489
4,3,200,0.000057,0.002331,0.002528,0.002544
4,4,200,0.000052,0.002186,0.002370,0.002384
4,5,200,0.000069,0.002255,0.002425,0.002439
4,6,200,0.000056,0.002165,0.002361,0.002375
4,7,200,0.000052,0.002234,0.002418,0.002432
4,8,200,0.000076,0.002494,0.002716,0.002748
4,9,200,0.000055,0.002262,0.002461,0.002475
4,10,200,0.000057,0.002585,0.002772,0.002785
4,11,200,0.000051,0.002205,0.002368,0.002383
4,12,200,0.000051,0.002150,0.002305,0.002333
4,13,200,0.000054,0.002244,0.002410,0.002425
4,14,200,0.000057,0.002220,0.002403,0.002417
4,15,200,0.000059,0.002278,0.002502,0.002530
4,16,200,0.000058,0.002276,0.002464,0.002479
4,17,200,0.000052,0.002211,0.002383,0.002397
4,18,200,0.000048,0.002225,0.002402,0.002416
4,19,200,0.000056,0.002290,0.002471,0.002485
4,20,200,0.000050,0.002184,0.002358,0.002372
4,21,200,0.000052,0.002258,0.002459,0.002472
4,22,200,0.000062,0.002257,0.002422,0.002453
4,23,200,0.000054,0.002354,0.002524,0.002538
4,24,200,0.000054,0.002198,0.002365,0.002378
4,25,200,0.000054,0.002204,0.002369,0.002384
4,26,200,0.000054,0.002228,0.002391,0.002422
4,27,200,0.000053,0.002196,0.002385,0.002438
4,28,200,0.000053,0.002212,0.002383,0.002397
4,29,200,0.000049,0.002166,0.002331,0.002344
4,30,200,0.000055,0.002219,0.002405,0.002435
4,31,200,0.000050,0.002183,0.002380,0.002396
4,32,200,0.000054,0.002281,0.002459,0.002475
4,33,200,0.000052,0.002178,0.002348,0.002362
4,34,200,0.000059,0.002252,0.002435,0.002449
4,35,200,0.000057,0.002362,0.002542,0.002558
4,36,200,0.000056,0.002233,0.002420,0.002436
4,37,200,0.000053,0.002253,0.002437,0.002451
4,38,200,0.000054,0.002273,0.002474,0.002489
4,39,200,0.000054,0.002374,0.002549,0.002563
4,40,200,0.000054,0.002355,0.002524,0.002540
4,41,200,0.000058,0.002502,0.002728,0.002744
4,42,200,0.000052,0.002512,0.002733,0.002750
4,43,200,0.000080,0.002453,0.002695,0.002713
4,44,200,0.000076,0.002361,0.002553,0.002584
4,45,200,0.000056,0.002376,0.002606,0.002623
4,46,200,0.000073,0.003244,0.003824,0.003842
4,47,200,0.000063,0.002349,0.002569,0.002587
4,48,200,0.000058,0.002359,0.002553,0.002569
4,49,200,0.000059,0.002367,0.002567,0.002584
4,50,200,0.000058,0.002373,0.002567,0.002582
5,1,200,0.000062,0.002411,0.002595,0.002611
5,2,200,0.000054,0.002236,0.002398,0.002413
5,3,200,0.000051,0.002208,0.002368,0.002385
5,4,200,0.000056,0.002233,0.002391,0.002421
5,5,200,0.000054,0.002263,0.002431,0.002448
5,6,200,0.000057,0.002280,0.002502,0.002517
5,7,200,0.000055,0.002254,0.002434,0.002449
5,8,200,0.000056,0.002251,0.002417,0.002432
5,9,200,0.000054,0.002205,0.002367,0.002384
5,10,200,0.000056,0.002256,0.002417,0.002432
5,11,200,0.000056,0.002227,0.002401,0.002417
5,12,200,0.000055,0.002225,0.002397,0.002411
5,13,200,0.000051,0.002185,0.002339,0.002352
5,14,200,0.000054,0.002261,0.002432,0.002445
5,15,200,0.000054,0.002266,0.002434,0.002449
5,16,200,0.000052,0.002265,0.002434,0.002449
5,17,200,0.000052,0.002277,0.002463,0.002478
5,18,200,0.000072,0.003029,0.003264,0.003283
5,19,200,0.000073,0.003013,0.003226,0.003244
5,20,200,0.000086,0.003124,0.003336,0.003355
5,21,200,0.000090,0.003235,0.003420,0.003438
5,22,200,0.000078,0.003194,0.003411,0.003430
5,23,200,0.000083,0.003234,0.003477,0.003496
5,24,200,0.000075,0.003180,0.003406,0.003427
5,25,200,0.000071,0.003364,0.003575,0.003594
5,26,200,0.000077,0.003154,0.003363,0.003383
5,27,200,0.000073,0.003300,0.003530,0.003552
5,28,200,0.000085,0.003450,0.003677,0.003698
5,29,200,0.000079,0.003284,0.003531,0.003551
5,30,200,0.000073,0.003163,0.003389,0.003407
5,31,200,0.000075,0.003130,0.003353,0.003372
5,32,200,0.000078,0.003193,0.003412,0.003430
5,33,200,0.000072,0.003220,0.003450,0.003469
5,34,200,0.000072,0.003200,0.003419,0.003438
5,35,200,0.000074,0.003277,0.003507,0.003527
5,36,200,0.000076,0.003382,0.003621,0.003644
5,37,200,0.000078,0.003408,0.003659,0.003680
5,38,200,0.000085,0.003445,0.003670,0.003691
5,39,200,0.000089,0.003327,0.003542,0.003562
5,40,200,0.000077,0.003228,0.003459,0.003477
5,41,200,0.000074,0.003142,0.003366,0.003385
5,42,200,0.000070,0.003089,0.003287,0.003307
5,43,200,0.000078,0.003368,0.003625,0.003645
5,44,200,0.000077,0.003302,0.003557,0.003578
5,45,200,0.000093,0.003437,0.003676,0.003697
5,46,200,0.000085,0.003440,0.003662,0.003682
5,47,200,0.000088,0.003226,0.003456,0.003475
5,48,200,0.000074,0.003163,0.003387,0.003406
5,49,200,0.000084,0.003113,0.003325,0.003344
5,50,200,0.000073,0.003027,0.003244,0.003263
