arm,repeat,sample_ms
classical,3,3.4640
classical,3,3.1320
classical,3,3.1330
classical,3,2.8810
classical,3,2.6380
classical,3,2.5280
classical,3,2.3660
classical,3,2.3430
classical,3,2.4980
classical,3,2.2940
classical,3,2.5260
classical,3,2.4900
classical,3,2.5340
classical,3,2.4240
classical,3,2.5250
classical,3,2.5420
classical,3,2.4220
classical,3,2.5730
classical,3,2.5050
classical,3,2.3600
classical,3,2.6780
classical,3,2.6710
classical,3,2.6710
classical,3,2.4920
classical,3,2.4190
classical,3,2.4430
classical,3,2.3410
classical,3,2.3770
classical,3,2.3340
classical,3,2.7730
classical,3,2.3600
classical,3,2.3870
classical,3,2.3680
classical,3,2.3160
classical,3,2.2720
classical,3,2.1680
classical,3,2.2220
classical,3,2.3370
classical,3,2.3390
classical,3,2.4630
classical,3,2.3740
classical,3,2.2940
classical,3,2.2570
classical,3,2.5340
classical,3,2.2970
classical,3,2.3730
classical,3,2.3890
classical,3,2.2960
classical,3,2.4960
classical,3,2.3750
classical,3,2.3170
classical,3,2.2480
classical,3,2.2850
classical,3,2.2270
classical,3,2.3610
classical,3,2.2100
classical,3,2.1800
classical,3,2.3590
classical,3,2.2630
classical,3,2.2110
classical,3,2.2990
classical,3,2.2140
classical,3,2.2600
classical,3,2.2060
classical,3,2.1930
classical,3,2.2150
classical,3,2.2660
classical,3,2.2380
classical,3,2.2190
classical,3,2.2300
classical,3,2.2430
classical,3,2.1590
classical,3,2.1750
classical,3,2.2360
classical,3,2.1490
classical,3,2.1920
classical,3,2.1570
classical,3,2.2330
classical,3,2.1900
classical,3,2.3350
classical,3,2.2500
classical,3,2.2090
classical,3,2.2270
classical,3,2.2090
classical,3,2.2340
classical,3,2.3030
classical,3,2.2870
classical,3,2.2530
classical,3,2.2100
classical,3,2.1870
classical,3,2.2140
classical,3,2.3110
classical,3,2.3190
classical,3,2.2780
classical,3,2.2060
classical,3,2.2300
classical,3,2.2740
classical,3,2.2520
classical,3,2.3180
classical,3,2.2930
hybrid,1,3.8190
hybrid,1,4.7910
hybrid,1,4.9120
hybrid,1,3.6940
hybrid,1,3.8270
hybrid,1,6.5640
hybrid,1,5.8270
hybrid,1,5.5220
hybrid,1,4.0460
hybrid,1,3.5010
hybrid,1,3.8450
hybrid,1,3.8300
hybrid,1,3.8280
hybrid,1,4.0300
hybrid,1,4.5630
hybrid,1,5.3280
hybrid,1,6.1320
hybrid,1,6.7780
hybrid,1,4.5370
hybrid,1,4.9370
hybrid,1,4.8880
hybrid,1,4.0030
hybrid,1,4.7270
hybrid,1,3.6380
hybrid,1,5.1480
hybrid,1,3.8390
hybrid,1,4.0850
hybrid,1,6.1610
hybrid,1,4.2330
hybrid,1,3.7780
hybrid,1,4.1740
hybrid,1,6.1640
hybrid,1,4.3390
hybrid,1,4.6580
hybrid,1,4.5810
hybrid,1,5.3490
hybrid,1,5.4500
