seq,arm,repeat,connect_ms,handshake_ms
3,pure,1,10.9040,18.2650
3,pure,1,11.1570,18.4180
3,pure,1,10.6670,18.3240
3,pure,1,11.1620,18.5780
3,pure,1,13.5040,19.2100
3,pure,1,11.2790,18.8930
3,pure,1,11.4160,18.1620
3,pure,1,11.1230,18.7900
3,pure,1,10.4960,18.6710
3,pure,1,10.6710,19.5990
3,pure,1,11.9310,18.1790
3,pure,1,10.9620,17.9330
3,pure,1,10.7880,18.6100
3,pure,1,12.0340,18.7090
3,pure,1,11.2540,19.3070
3,pure,1,12.1010,22.1030
3,pure,1,10.8750,17.5090
3,pure,1,11.3940,18.6620
3,pure,1,12.0000,18.9110
3,pure,1,10.8630,22.7900
3,pure,1,10.9540,19.3850
3,pure,1,11.6080,18.6040
3,pure,1,12.0110,20.6650
3,pure,1,12.1660,18.2290
3,pure,1,11.2280,18.9200
3,pure,1,10.9320,18.6830
3,pure,1,10.6860,18.3950
3,pure,1,11.4240,19.9790
3,pure,1,11.0660,18.4400
3,pure,1,10.8020,21.4550
3,pure,1,13.1790,20.7790
3,pure,1,12.4710,20.3420
3,pure,1,12.2790,22.2160
3,pure,1,13.1570,23.0510
3,pure,1,11.0930,18.4700
3,pure,1,11.1030,19.1880
3,pure,1,11.6950,19.0120
3,pure,1,12.9450,22.9070
4,deployed,1,11.1100,20.2180
4,deployed,1,11.4920,20.4650
4,deployed,1,12.9310,23.3490
4,deployed,1,13.0050,21.7600
4,deployed,1,11.3300,19.5870
4,deployed,1,12.1940,21.7150
4,deployed,1,11.4740,21.4940
4,deployed,1,12.7740,23.0120
4,deployed,1,11.5150,19.7530
4,deployed,1,10.8640,21.4510
4,deployed,1,10.9300,17.8450
4,deployed,1,11.7610,23.5090
4,deployed,1,10.9570,20.1350
4,deployed,1,11.1760,17.8580
4,deployed,1,11.1800,17.7780
4,deployed,1,11.0630,21.5810
4,deployed,1,10.9740,19.9370
4,deployed,1,12.0680,21.6630
4,deployed,1,12.0920,22.1220
4,deployed,1,12.7970,25.0630
4,deployed,1,12.2540,23.3400
4,deployed,1,12.8540,21.0990
4,deployed,1,12.6980,26.4820
4,deployed,1,12.1280,21.6730
4,deployed,1,13.7150,22.2420
4,deployed,1,12.9400,24.0090
4,deployed,1,11.7750,19.6280
4,deployed,1,12.6230,22.8970
4,deployed,1,12.2280,21.4520
4,deployed,1,12.9310,24.6810
4,deployed,1,12.9220,23.3380
4,deployed,1,12.9750,23.3060
4,deployed,1,12.4590,23.4650
4,deployed,1,12.7420,23.1390
4,deployed,1,11.7920,23.1110
4,deployed,1,12.7500,22.3750
4,deployed,1,11.5780,21.2290
4,deployed,1,11.8430,20.1350
